trait,value,label
segment_path_length,NA,NA
segment_eu_length,NA,NA
segment_curvature,NA,NA
segment_insertion_angle,NA,NA
segment_path_length,185.0807341337204,0
segment_path_length,444.07568180561066,1
segment_path_length,796.4833608269691,2
segment_path_length,320.2695519924164,3
segment_eu_length,167.72000476985446,0
segment_eu_length,200.48940121612415,1
segment_eu_length,466.2038180881834,2
segment_eu_length,309.0954545120326,3
segment_curvature,1.103510188827435,0
segment_curvature,2.214958392373593,1
segment_curvature,1.708444525600845,2
segment_curvature,1.0361509602204415,3
segment_insertion_angle,48.14496026170971,0
segment_insertion_angle,35.66365015734682,1
segment_insertion_angle,28.61651869768329,2
segment_insertion_angle,6.268032271607687,3
segment_path_length,180.1690467596054,0
segment_path_length,451.19343197345734,1
segment_path_length,818.0483322143555,2
segment_path_length,776.0452002882957,3
segment_eu_length,167.36188335460378,0
segment_eu_length,407.9571055883204,1
segment_eu_length,753.1719591169071,2
segment_eu_length,751.1657606680433,3
segment_curvature,1.076523776790119,0
segment_curvature,1.1059825304986053,1
segment_curvature,1.0861375311602357,2
segment_curvature,1.0331211044525328,3
segment_insertion_angle,87.96228568872941,0
segment_insertion_angle,37.95613485036991,1
segment_insertion_angle,25.44682597936631,2
segment_insertion_angle,6.469126701151202,3
segment_path_length,NA,NA
segment_eu_length,NA,NA
segment_curvature,NA,NA
segment_insertion_angle,NA,NA
segment_path_length,169.21067690849304,0
segment_path_length,299.5904005765915,1
segment_path_length,465.33556735515594,2
segment_eu_length,149.85659811966906,0
segment_eu_length,276.1231609264243,1
segment_eu_length,435.12412022318415,2
segment_curvature,1.129150661576934,0
segment_curvature,1.0849883058394376,1
segment_curvature,1.0694317913621423,2
segment_insertion_angle,58.267223658354894,0
segment_insertion_angle,25.447982102568872,1
segment_insertion_angle,9.270800175565881,2
segment_path_length,183.6959581375122,0
segment_path_length,490.07568180561066,1
segment_path_length,820.222869515419,2
segment_eu_length,164.9151296879701,0
segment_eu_length,452.20570540407823,1
segment_eu_length,791.5611157706018,2
segment_curvature,1.1138817795861218,0
segment_curvature,1.0837450212347342,1
segment_curvature,1.0362091481930797,2
segment_insertion_angle,45.46822278636005,0
segment_insertion_angle,22.61064456803186,1
segment_insertion_angle,4.021077619591912,2
segment_path_length,NA,NA
segment_eu_length,NA,NA
segment_curvature,NA,NA
segment_insertion_angle,NA,NA
segment_path_length,NA,NA
segment_eu_length,NA,NA
segment_curvature,NA,NA
segment_insertion_angle,NA,NA
segment_path_length,427.3305150270462,0
segment_path_length,488.4726504087448,1
segment_path_length,574.3437516093254,2
segment_path_length,435.7792184352875,3
segment_eu_length,267.5256997000475,0
segment_eu_length,367.0490430446591,1
segment_eu_length,525.594901040716,2
segment_eu_length,407.52055162899455,3
segment_curvature,1.5973437897972924,0
segment_curvature,1.3308103090444838,1
segment_curvature,1.0927498544450929,2
segment_curvature,1.0693429244079438,3
segment_insertion_angle,49.897368236681544,0
segment_insertion_angle,42.78946858397239,1
segment_insertion_angle,25.896944097092153,2
segment_insertion_angle,9.223084474024176,3
segment_path_length,63.719299376010895,0
segment_path_length,237.25230705738068,1
segment_path_length,71.92030984163284,2
segment_path_length,388.78531473875046,3
segment_eu_length,58.60034129593445,0
segment_eu_length,214.88834309938733,1
segment_eu_length,65.80273550544841,2
segment_eu_length,360.25685281476603,3
segment_curvature,1.0873537246860983,0
segment_curvature,1.1040724854379367,1
segment_curvature,1.092968389371562,2
segment_curvature,1.0791892276332435,3
segment_insertion_angle,71.52591356433562,0
segment_insertion_angle,43.54362733627394,1
segment_insertion_angle,21.704073559496067,2
segment_insertion_angle,19.696498368554575,3
segment_path_length,110.11017167568207,0
segment_path_length,380.81579625606537,1
segment_path_length,686.656415939331,2
